Subject	StimRank	StimValue	StimName	StimNum	ValueGroup	Contingency
BM_120	1	0.9546198	2008.jpg	42	0	0
BM_120	2	0.9388764	2094.jpg	56	0	0
BM_120	3	0.8609038	2153.jpg	65	0	0
BM_120	4	0.8533661	2112.jpg	59	0	0
BM_120	5	0.8512297	2124.jpg	61	0	0
BM_120	6	0.8382114	2154.jpg	66	0	0
BM_120	7	0.8341266	2054.jpg	52	0	0
BM_120	8	0.8211456	2249.jpg	80	0	0
BM_120	9	0.8185344	2229.jpg	77	1	0
BM_120	10	0.8022459	2039.jpg	47	1	0.5
BM_120	11	0.7915552	2181.jpg	69	1	0.5
BM_120	12	0.7816093	2010.jpg	43	1	0
BM_120	13	0.7791432	2016.jpg	45	1	0
BM_120	14	0.7655977	2125.jpg	62	1	0.5
BM_120	15	0.7652809	2006.jpg	41	1	0.5
BM_120	16	0.7631709	2118.jpg	60	1	0
BM_120	17	0.7494879	2212.jpg	73	2	0
BM_120	18	0.7432267	2149.jpg	64	2	1
BM_120	19	0.7066389	1262.jpg	40	2	1
BM_120	20	0.6863308	2015.jpg	44	2	0
BM_120	21	0.6692249	1114.jpg	16	2	0
BM_120	22	0.6589722	2248.jpg	79	2	1
BM_120	23	0.6574815	1035.jpg	9	2	1
BM_120	24	0.6560468	2053.jpg	51	2	0
BM_120	25	0.6378602	1228.jpg	36	3	0
BM_120	26	0.6368635	2063.jpg	54	3	1
BM_120	27	0.6327106	2164.jpg	68	3	1
BM_120	28	0.6005073	1028.jpg	7	3	0
BM_120	29	0.5906811	2043.jpg	49	3	0
BM_120	30	0.584736	2209.jpg	72	3	1
BM_120	31	0.5818787	2201.jpg	71	3	1
BM_120	32	0.5695592	1255.jpg	39	3	0
BM_120	33	0.5629694	2221.jpg	76	4	0
BM_120	34	0.5554252	1073.jpg	14	4	0.5
BM_120	35	0.5455278	2155.jpg	67	4	0.5
BM_120	36	0.5406503	2128.jpg	63	4	0
BM_120	37	0.5379434	2045.jpg	50	4	0
BM_120	38	0.5097864	1031.jpg	8	4	0.5
BM_120	39	0.5087348	1191.jpg	27	4	0.5
BM_120	40	0.4998333	1027.jpg	6	4	0
BM_120	41	0.4835838	2217.jpg	74	5	1
BM_120	42	0.4756059	1115.jpg	17	5	0
BM_120	43	0.4601562	1007.jpg	1	5	0
BM_120	44	0.4595446	1254.jpg	38	5	1
BM_120	45	0.4584937	1050.jpg	10	5	1
BM_120	46	0.4336075	2041.jpg	48	5	0
BM_120	47	0.4209947	2218.jpg	75	5	0
BM_120	48	0.4101631	2111.jpg	58	5	1
BM_120	49	0.4060854	1202.jpg	29	6	0.5
BM_120	50	0.4055825	2089.jpg	55	6	0
BM_120	51	0.4008452	2024.jpg	46	6	0
BM_120	52	0.3882508	1144.jpg	20	6	0.5
BM_120	53	0.3633304	1210.jpg	32	6	0.5
BM_120	54	0.3631518	1207.jpg	31	6	0
BM_120	55	0.3616681	2240.jpg	78	6	0
BM_120	56	0.3550586	2194.jpg	70	6	0.5
BM_120	57	0.3128309	2058.jpg	53	7	0.5
BM_120	58	0.3103493	1220.jpg	34	7	0
BM_120	59	0.3062738	1173.jpg	24	7	0
BM_120	60	0.3038505	1019.jpg	5	7	0.5
BM_120	61	0.2982826	1130.jpg	19	7	0
BM_120	62	0.2971972	1145.jpg	21	7	0.5
BM_120	63	0.2950293	1182.jpg	25	7	0.5
BM_120	64	0.2888168	1183.jpg	26	7	0
BM_120	65	0.2726535	1246.jpg	37	8	0
BM_120	66	0.2634808	1017.jpg	4	8	1
BM_120	67	0.260157	1204.jpg	30	8	1
BM_120	68	0.2592983	1052.jpg	11	8	0
BM_120	69	0.2504351	1150.jpg	23	8	1
BM_120	70	0.2450339	1009.jpg	2	8	0
BM_120	71	0.2221948	1226.jpg	35	8	0
BM_120	72	0.2119962	1127.jpg	18	8	1
BM_120	73	0.1914361	1146.jpg	22	0	0
BM_120	74	0.1885886	1216.jpg	33	0	0
BM_120	75	0.1835349	2110.jpg	57	0	0
BM_120	76	0.1528916	1013.jpg	3	0	0
BM_120	77	0.1499059	1057.jpg	12	0	0
BM_120	78	0.1242283	1060.jpg	13	0	0
BM_120	79	0.1017357	1192.jpg	28	0	0
BM_120	80	0.02098296	1080.jpg	15	0	0
