Subject	StimRank	StimValue	StimName	StimNum	ValueGroup	Contingency
BM_148	1	0.9253113	2006.jpg	41	0	0
BM_148	2	0.9076832	1031.jpg	8	0	0
BM_148	3	0.9000744	2016.jpg	45	0	0
BM_148	4	0.8815694	2249.jpg	80	0	0
BM_148	5	0.8697197	2124.jpg	61	0	0
BM_148	6	0.827827	2089.jpg	55	0	0
BM_148	7	0.8163025	2112.jpg	59	0	0
BM_148	8	0.809856	1182.jpg	25	0	0
BM_148	9	0.7987958	2229.jpg	77	1	0.5
BM_148	10	0.7927144	2153.jpg	65	1	0
BM_148	11	0.7730778	1035.jpg	9	1	0
BM_148	12	0.7660969	2015.jpg	44	1	0.5
BM_148	13	0.7545014	1144.jpg	20	1	0.5
BM_148	14	0.7446452	1202.jpg	29	1	0
BM_148	15	0.7249489	2217.jpg	74	1	0
BM_148	16	0.7170944	2248.jpg	79	1	0.5
BM_148	17	0.7140926	2054.jpg	52	2	1
BM_148	18	0.6778089	1255.jpg	39	2	0
BM_148	19	0.6657834	2212.jpg	73	2	0
BM_148	20	0.6650071	1009.jpg	2	2	1
BM_148	21	0.6620664	1114.jpg	16	2	0
BM_148	22	0.6487454	2053.jpg	51	2	1
BM_148	23	0.6439032	1254.jpg	38	2	1
BM_148	24	0.6352788	1115.jpg	17	2	0
BM_148	25	0.6308967	2201.jpg	71	3	1
BM_148	26	0.6116447	2154.jpg	66	3	0
BM_148	27	0.5854799	1146.jpg	22	3	0
BM_148	28	0.5836822	1019.jpg	5	3	1
BM_148	29	0.5758166	2125.jpg	62	3	1
BM_148	30	0.5692954	1262.jpg	40	3	0
BM_148	31	0.5608541	1027.jpg	6	3	0
BM_148	32	0.5589448	2008.jpg	42	3	1
BM_148	33	0.5487596	2045.jpg	50	4	0.5
BM_148	34	0.5274969	1246.jpg	37	4	0
BM_148	35	0.5235273	2063.jpg	54	4	0
BM_148	36	0.5230246	1145.jpg	21	4	0.5
BM_148	37	0.5227787	2240.jpg	78	4	0.5
BM_148	38	0.520194	1210.jpg	32	4	0
BM_148	39	0.5023858	1028.jpg	7	4	0
BM_148	40	0.483548	1130.jpg	19	4	0.5
BM_148	41	0.4492809	1207.jpg	31	5	1
BM_148	42	0.4440877	2010.jpg	43	5	0
BM_148	43	0.4346391	1216.jpg	33	5	0
BM_148	44	0.4310441	1183.jpg	26	5	1
BM_148	45	0.4253497	1127.jpg	18	5	1
BM_148	46	0.4252621	1050.jpg	10	5	0
BM_148	47	0.4182801	2118.jpg	60	5	0
BM_148	48	0.4027942	2128.jpg	63	5	1
BM_148	49	0.4025323	2164.jpg	68	6	0
BM_148	50	0.3992822	2209.jpg	72	6	0.5
BM_148	51	0.3858716	1052.jpg	11	6	0.5
BM_148	52	0.3838511	1060.jpg	13	6	0
BM_148	53	0.3783371	2110.jpg	57	6	0.5
BM_148	54	0.3698437	2221.jpg	76	6	0
BM_148	55	0.3617687	2058.jpg	53	6	0
BM_148	56	0.3594109	2039.jpg	47	6	0.5
BM_148	57	0.357967	2149.jpg	64	7	0.5
BM_148	58	0.3563776	1007.jpg	1	7	0
BM_148	59	0.3507744	1173.jpg	24	7	0
BM_148	60	0.3496699	1204.jpg	30	7	0.5
BM_148	61	0.3349471	2181.jpg	69	7	0.5
BM_148	62	0.3274475	1150.jpg	23	7	0
BM_148	63	0.3251431	2218.jpg	75	7	0
BM_148	64	0.3224242	1192.jpg	28	7	0.5
BM_148	65	0.31892	1220.jpg	34	8	0
BM_148	66	0.312413	2024.jpg	46	8	1
BM_148	67	0.2853569	1013.jpg	3	8	1
BM_148	68	0.2848033	2041.jpg	48	8	0
BM_148	69	0.2784736	2043.jpg	49	8	0
BM_148	70	0.2775654	1191.jpg	27	8	1
BM_148	71	0.2569969	2111.jpg	58	8	1
BM_148	72	0.2460145	1073.jpg	14	8	0
BM_148	73	0.2351323	1017.jpg	4	0	0
BM_148	74	0.231611	1226.jpg	35	0	0
BM_148	75	0.2227515	1057.jpg	12	0	0
BM_148	76	0.1940431	1228.jpg	36	0	0
BM_148	77	0.1624134	1080.jpg	15	0	0
BM_148	78	0.1457312	2094.jpg	56	0	0
BM_148	79	0.1446499	2155.jpg	67	0	0
BM_148	80	0.05550467	2194.jpg	70	0	0
